Comment,Parameter
dn_prn,
dn_sn,
dsn_prn,
g_n_prn,
n_prn_gn,
g_sn_gn,159.01497447026105
n_prn_sn,
prn_sn_ls,
n_13_sn,29.809855614922803
sn_13_gn,33.913347599165874
prn_n_sn,
dsn_gn,59.28986098379424
dch_gn,33.77109854751449
RP_GP,
AB,
AC,
AB_1,
D_AB,
AB_2,
D_AB2,
dtr_n,59.79769705217792
d1_2,[ 2.41222132 57.38547573]
