Comment,Parameter
dn_prn,37.8107874799776
dn_sn,42.48302630063651
dsn_prn,11.706970315800401
g_n_prn,131.82295931629508
n_prn_gn,128.66774943529762
g_sn_gn,166.0590428368248
n_prn_sn,100.38344195145824
prn_sn_ls,128.69380271352114
n_13_sn,25.93770131066069
sn_13_gn,28.79399346752572
prn_n_sn,21.480174295519717
dsn_gn,51.776188303900746
dch_gn,29.810532659821643
RP_GP,16.65527735649954
AB,[21.45656854]
AC,[35.52093713]
AB_1,54.31363716209867
D_AB,14.657188906983828
AB_2,94.34332039943332
D_AB2,20.64683611333773
dtr_n,74.22460561048709
d1_2,
