Comment,Parameter
dn_prn,34.85694444
dn_sn,39.62367949
dsn_prn,10.69596256
g_n_prn,120.7061659
n_prn_gn,135.1467482
g_sn_gn,170.9479581
n_prn_sn,109.6373633
prn_sn_ls,118.925512
n_13_sn,24.98997795
sn_13_gn,31.15131401
prn_n_sn,17.66500766
dsn_gn,58.463159
dch_gn,32.69561283
RP_GP,16.65166899
AB,[17.2129767]
AC,[33.17761219]
AB_1,54.00279976
D_AB,9.420979297
AB_2,98.27492494
D_AB2,17.6211156
dtr_n,77.30263852
d1_2,
