Comment,Parameter
dn_prn,39.20753235
dn_sn,46.2802524
dsn_prn,13.22292926
g_n_prn,134.6322031
n_prn_gn,133.0891149
g_sn_gn,165.8982427
n_prn_sn,109.4112679
prn_sn_ls,120.4906495
n_13_sn,25.90940691
sn_13_gn,28.4626244
prn_n_sn,19.47611872
dsn_gn,59.25369243
dch_gn,32.43360007
RP_GP,16.96526773
AB,[19.93733191]
AC,[38.20091413]
AB_1,62.3958801
D_AB,11.76570687
AB_2,105.5634312
D_AB2,20.29467268
dtr_n,78.214874
d1_2,[31.43564314 56.75880011]
