Comment,Parameter
dn_prn,43.69442922
dn_sn,49.81259365
dsn_prn,11.12696897
g_n_prn,128.5941259
n_prn_gn,131.0601618
g_sn_gn,165.8319211
n_prn_sn,102.1570144
prn_sn_ls,120.3979204
n_13_sn,4.78887653
sn_13_gn,7.281011679
prn_n_sn,19.71902237
dsn_gn,66.11489703
dch_gn,39.07377476
RP_GP,15.9141533
AB,[18.98471447]
AC,[41.46823702]
AB_1,65.249505
D_AB,14.4994339
AB_2,116.3329098
D_AB2,23.46930523
dtr_n,
d1_2,
