Comment,Parameter
dn_prn,38.08065487708991
dn_sn,46.602923004549524
dsn_prn,12.64228230442567
g_n_prn,147.57381256021029
n_prn_gn,139.14187888917309
g_sn_gn,168.52717928374926
n_prn_sn,113.96522472263541
prn_sn_ls,127.23687715087739
n_13_sn,27.294286602987547
sn_13_gn,26.431917962933305
prn_n_sn,18.427502655118715
dsn_gn,52.67617626844029
dch_gn,27.515555603749988
RP_GP,15.36904907596846
AB,[17.87183582]
AC,[37.36699488]
AB_1,59.70252551429767
D_AB,11.348690390294573
AB_2,99.28405071782173
D_AB2,16.88818352831787
dtr_n,65.8142343495101
d1_2,[10.90706709 43.62826834]
