Comment,Parameter
dn_prn,37.89246585794945
dn_sn,43.69633608201517
dsn_prn,11.906024157178292
g_n_prn,130.687713553096
n_prn_gn,131.1775275688754
g_sn_gn,164.63958614221232
n_prn_sn,107.16697458896559
prn_sn_ls,124.12897419632789
n_13_sn,23.97844207146004
sn_13_gn,28.162225013725994
prn_n_sn,19.23651050385635
dsn_gn,58.54818064921696
dch_gn,30.07191668565651
RP_GP,16.324754772213534
AB,[21.03050595]
AC,[36.28276129]
AB_1,60.551758715423745
D_AB,12.118413102763835
AB_2,102.24635858914836
D_AB2,20.42955664826885
dtr_n,76.22310310935794
d1_2,
